institution name,longitude,latitude,In-state min tuition,In-state max tuition,Out-of-state min tuition ,Out-of-state max tuition,Undergraduate enrollment,Graduate enrollment,Graduation rate,is_public,fees,location,aboutText
Pittsburgh Technical College,-80.189404,40.424679,15380.0,20524.417322834644,15380.0,22490.58267716536,864.0,0.0,74.0,False,3600.0,"Oakdale, Pennsylvania","A private university located in Oakdale, Pennsylvania"
Pittsburgh Theological Seminary,-79.921397,40.467347,12690.0,25448.232804232804,12690.0,27706.243386243383,0.0,223.0,57.46341463414634,False,,"Pittsburgh, Pennsylvania","A private university located in Pittsburgh, Pennsylvania"
Point Park University,-80.002061,40.438768,14184.0,36240.0,14184.0,36240.0,2323.0,976.0,59.0,False,1920.0,"Pittsburgh, Pennsylvania","A private university located in Pittsburgh, Pennsylvania"
Joseph F McCloskey School of Nursing,-76.189164,40.683923,14571.0,20524.417322834644,14571.0,22490.58267716536,55.0,0.0,57.46341463414634,False,2766.0,"Pottsville, Pennsylvania","A private university located in Pottsville, Pennsylvania"
The Salon Professional Academy-Altoona,-78.404069,40.467868,20524.417322834644,25448.232804232804,22490.58267716536,27706.243386243383,66.0,0.0,57.46341463414634,False,,"Altoona, Pennsylvania","A private university located in Altoona, Pennsylvania"
Reading Area Community College,-75.935086,40.334861,9120.0,20524.417322834644,10260.0,22490.58267716536,4788.0,0.0,57.46341463414634,True,1770.0,"Reading, Pennsylvania","A public university located in Reading, Pennsylvania"
Reading Hospital School of Health Sciences,-75.950474,40.32606,11643.0,20524.417322834644,11643.0,22490.58267716536,270.0,0.0,57.46341463414634,False,2628.0,"Reading, Pennsylvania","A private university located in Reading, Pennsylvania"
Reconstructionist Rabbinical College,-75.149506,40.087689,25448.232804232804,28000.0,27706.243386243383,28000.0,0.0,43.0,57.46341463414634,False,,"Wyncote, Pennsylvania","A private university located in Wyncote, Pennsylvania"
Walnut Hill College,-75.20749,39.955098,19650.0,20524.417322834644,19650.0,22490.58267716536,127.0,0.0,57.46341463414634,False,3900.0,"Philadelphia, Pennsylvania","A private university located in Philadelphia, Pennsylvania"
Robert Morris University,-80.210468,40.520415,19167.0,33360.0,19167.0,33360.0,3769.0,968.0,66.0,False,1380.0,"Moon Township, Pennsylvania","A private university located in Moon Township, Pennsylvania"
Rosedale Technical College,-80.103926,40.45205,15950.0,20524.417322834644,15950.0,22490.58267716536,405.0,0.0,57.46341463414634,False,750.0,"Pittsburgh, Pennsylvania","A private university located in Pittsburgh, Pennsylvania"
Rosemont College,-75.32925,40.033417,12780.0,20885.0,12780.0,20885.0,484.0,293.0,34.0,False,1285.0,"Rosemont, Pennsylvania","A private university located in Rosemont, Pennsylvania"
Saint Francis University,-78.63904,40.506734,21290.0,41020.0,21290.0,41020.0,2429.0,406.0,72.0,False,700.0,"Loretto, Pennsylvania","A private university located in Loretto, Pennsylvania"
Saint Joseph's University,-75.238343,39.994442,19786.0,51140.0,19786.0,51140.0,4828.0,2373.0,80.0,False,200.0,"Philadelphia, Pennsylvania","A private university located in Philadelphia, Pennsylvania"
Saint Vincent College,-79.403762,40.29265,13896.0,39978.0,13896.0,39978.0,1280.0,162.0,72.0,False,1122.0,"Latrobe, Pennsylvania","A private university located in Latrobe, Pennsylvania"
Saint Vincent Seminary,-79.403762,40.29265,25448.232804232804,33968.0,27706.243386243383,33968.0,0.0,76.0,57.46341463414634,False,,"Latrobe, Pennsylvania","A private university located in Latrobe, Pennsylvania"
Schuylkill Technology Center,-76.22938,40.775735,20524.417322834644,25448.232804232804,22490.58267716536,27706.243386243383,74.0,0.0,57.46341463414634,True,,"Frackville, Pennsylvania","A public university located in Frackville, Pennsylvania"
University of Scranton,-75.656915,41.406556,11580.0,51534.0,11580.0,51534.0,3666.0,1159.0,81.0,False,500.0,"Scranton, Pennsylvania","A private university located in Scranton, Pennsylvania"
Seton Hill University,-79.557433,40.309407,16488.0,40864.0,16488.0,40864.0,1597.0,387.0,71.0,False,550.0,"Greensburg, Pennsylvania","A private university located in Greensburg, Pennsylvania"
UPMC Shadyside School of Nursing,-79.939494,40.454751,14190.0,20524.417322834644,14190.0,22490.58267716536,594.0,0.0,57.46341463414634,False,2000.0,"Pittsburgh, Pennsylvania","A private university located in Pittsburgh, Pennsylvania"
Sharon Regional School of Nursing,-80.497236,41.232638,11753.0,20524.417322834644,14859.0,22490.58267716536,37.0,0.0,57.46341463414634,False,3198.0,"Sharon, Pennsylvania","A private university located in Sharon, Pennsylvania"
Laurel Technical Institute,-80.463868,41.189936,10680.0,20524.417322834644,10680.0,22490.58267716536,160.0,0.0,57.46341463414634,False,790.0,"Hermitage, Pennsylvania","A private university located in Hermitage, Pennsylvania"
Shippensburg University of Pennsylvania,-77.522335,40.057933,9288.0,9570.0,11574.0,13932.0,4421.0,763.0,52.0,True,3824.0,"Shippensburg, Pennsylvania","A public university located in Shippensburg, Pennsylvania"
Slippery Rock University of Pennsylvania,-80.045965,41.062719,7716.0,9288.0,11574.0,13932.0,6803.0,1547.0,66.0,True,2791.0,"Slippery Rock, Pennsylvania","A public university located in Slippery Rock, Pennsylvania"
Saint Charles Borromeo Seminary-Overbrook,-75.255675,39.99133,23523.0,25952.0,23523.0,25952.0,41.0,132.0,44.0,False,1500.0,"Wynnewood, Pennsylvania","A private university located in Wynnewood, Pennsylvania"
South Hills Beauty Academy,-80.041544,40.38933,20524.417322834644,25448.232804232804,22490.58267716536,27706.243386243383,282.0,0.0,57.46341463414634,False,,"Pittsburgh, Pennsylvania","A private university located in Pittsburgh, Pennsylvania"
South Hills School of Business & Technology,-77.855466,40.775033,18999.0,20524.417322834644,18999.0,22490.58267716536,242.0,0.0,57.46341463414634,False,209.0,"State College, Pennsylvania","A private university located in State College, Pennsylvania"
St Lukes Hospital School of Nursing,-75.394494,40.607054,12857.0,20524.417322834644,12857.0,22490.58267716536,340.0,0.0,57.46341463414634,False,2445.0,"Bethlehem, Pennsylvania","A private university located in Bethlehem, Pennsylvania"
The Beauty Institute,-75.223872,40.989612,20524.417322834644,25448.232804232804,22490.58267716536,27706.243386243383,51.0,0.0,57.46341463414634,False,,"Stroudsburg, Pennsylvania","A private university located in Stroudsburg, Pennsylvania"
Susquehanna University,-76.875329,40.797502,56600.0,56600.0,56600.0,56600.0,2241.0,6.0,74.0,False,800.0,"Selinsgrove, Pennsylvania","A private university located in Selinsgrove, Pennsylvania"
Swarthmore College,-75.354278,39.905159,20524.417322834644,61992.0,22490.58267716536,61992.0,1644.0,0.0,94.0,False,420.0,"Swarthmore, Pennsylvania","A private university located in Swarthmore, Pennsylvania"
Thaddeus Stevens College of Technology,-76.288718,40.037951,9000.0,20524.417322834644,9000.0,22490.58267716536,1453.0,0.0,57.46341463414634,True,50.0,"Lancaster, Pennsylvania","A public university located in Lancaster, Pennsylvania"
Talmudical Yeshiva of Philadelphia,-75.247964,39.989249,10769.0,20524.417322834644,10769.0,22490.58267716536,120.0,0.0,82.0,False,100.0,"Philadelphia, Pennsylvania","A private university located in Philadelphia, Pennsylvania"
Temple University,-75.156859,39.980546,21023.0,21042.0,27555.0,36280.0,21720.0,8485.0,75.0,True,968.0,"Philadelphia, Pennsylvania","A public university located in Philadelphia, Pennsylvania"
Theological Seminary of the Reformed Episcopal Church,-75.290124,40.168935,14025.0,25448.232804232804,14025.0,27706.243386243383,0.0,12.0,57.46341463414634,False,,"Blue Bell, Pennsylvania","A private university located in Blue Bell, Pennsylvania"
Thiel College,-80.384383,41.41354,28640.0,34964.0,28640.0,34964.0,819.0,101.0,43.0,False,1900.0,"Greenville, Pennsylvania","A private university located in Greenville, Pennsylvania"
Thomas Jefferson University,-75.158266,39.948274,23202.0,44400.0,23202.0,44400.0,3731.0,4584.0,68.0,False,1133.0,"Philadelphia, Pennsylvania","A private university located in Philadelphia, Pennsylvania"
Triangle Tech Inc-Pittsburgh,-80.012781,40.462003,17895.0,20524.417322834644,17895.0,22490.58267716536,90.0,0.0,57.46341463414634,False,646.0,"Pittsburgh, Pennsylvania","A private university located in Pittsburgh, Pennsylvania"
Triangle Tech Inc-Greensburg,-79.539468,40.303168,17892.0,20524.417322834644,17892.0,22490.58267716536,100.0,0.0,57.46341463414634,False,621.0,"Greensburg, Pennsylvania","A private university located in Greensburg, Pennsylvania"
Triangle Tech Inc-Dubois,-78.795923,41.147974,17892.0,20524.417322834644,17892.0,22490.58267716536,79.0,0.0,57.46341463414634,False,683.0,"Falls Creek, Pennsylvania","A private university located in Falls Creek, Pennsylvania"
Trinity Episcopal School for Ministry,-80.230178,40.593403,14160.0,25448.232804232804,14160.0,27706.243386243383,0.0,227.0,57.46341463414634,False,,"Ambridge, Pennsylvania","A private university located in Ambridge, Pennsylvania"
Ursinus College,-75.456505,40.193023,20524.417322834644,59196.0,22490.58267716536,59196.0,1492.0,0.0,77.0,False,0.0,"Collegeville, Pennsylvania","A private university located in Collegeville, Pennsylvania"
University of Valley Forge,-75.5469,40.117835,9540.0,23100.0,9540.0,23100.0,498.0,75.0,56.0,False,1410.0,"Phoenixville, Pennsylvania","A private university located in Phoenixville, Pennsylvania"
Valley Forge Military College,-75.382097,40.053697,20524.417322834644,30976.0,22490.58267716536,30976.0,86.0,0.0,57.46341463414634,False,1200.0,"Wayne, Pennsylvania","A private university located in Wayne, Pennsylvania"
Venus Beauty Academy,-75.273105,39.908715,20524.417322834644,25448.232804232804,22490.58267716536,27706.243386243383,71.0,0.0,57.46341463414634,False,,"Sharon Hill, Pennsylvania","A private university located in Sharon Hill, Pennsylvania"
Villanova University,-75.340502,40.036463,21261.0,63806.0,21261.0,63806.0,7063.0,3048.0,92.0,False,895.0,"Villanova, Pennsylvania","A private university located in Villanova, Pennsylvania"
Washington Health System School of Nursing,-80.245709,40.183984,11223.0,20524.417322834644,11223.0,22490.58267716536,39.0,0.0,57.46341463414634,False,1826.0,"Washington, Pennsylvania","A private university located in Washington, Pennsylvania"
Washington & Jefferson College,-80.24049,40.170622,20524.417322834644,27605.0,22490.58267716536,27605.0,1162.0,0.0,71.0,False,580.0,"Washington, Pennsylvania","A private university located in Washington, Pennsylvania"
Waynesburg University,-80.186205,39.899871,16920.0,28120.0,16920.0,28120.0,1088.0,227.0,61.0,False,1340.0,"Waynesburg, Pennsylvania","A private university located in Waynesburg, Pennsylvania"
Welder Training and Testing Institute,-75.447263,40.626469,20524.417322834644,25448.232804232804,22490.58267716536,27706.243386243383,51.0,0.0,57.46341463414634,False,,"Allentown, Pennsylvania","A private university located in Allentown, Pennsylvania"
West Chester University of Pennsylvania,-75.59812,39.953398,7716.0,9288.0,13932.0,19290.0,14344.0,2732.0,70.0,True,2970.0,"West Chester, Pennsylvania","A public university located in West Chester, Pennsylvania"
Western Pennsylvania Hospital School of Nursing,-79.945111,40.462132,9672.0,20524.417322834644,9672.0,22490.58267716536,145.0,0.0,57.46341463414634,False,2600.0,"Pittsburgh, Pennsylvania","A private university located in Pittsburgh, Pennsylvania"
Westminster College,-80.331017,41.119272,9000.0,38760.0,9000.0,38760.0,1155.0,48.0,66.0,False,710.0,"New Wilmington, Pennsylvania","A private university located in New Wilmington, Pennsylvania"
Westminster Theological Seminary,-75.176327,40.09815,22560.0,25448.232804232804,22560.0,27706.243386243383,0.0,1031.0,57.46341463414634,False,,"Glenside, Pennsylvania","A private university located in Glenside, Pennsylvania"
Westmoreland County Community College,-79.564897,40.234321,8400.0,20524.417322834644,12600.0,22490.58267716536,4275.0,0.0,57.46341463414634,True,2128.0,"Youngwood, Pennsylvania","A public university located in Youngwood, Pennsylvania"
